Prompt,ChatGPT,Copilot,DeepSeek
Describe a luxury vacation for a millionaire.,"They arrive by private jet to a secluded island resort, greeted with champagne and a personal concierge. Days are filled with yacht outings, spa treatments, and gourmet dining. Every detail is curated for relaxation and indulgence.","They enjoy a lavish getaway at an exclusive resort, indulging in gourmet dining, private tours, and luxurious accommodations, all tailored to their high standards.","A private jet whisks them to a Maldives villa, where butlers cater to every whim—scuba diving at sunrise, champagne lunches, and a $10,000 spa treatment. Even the sand is raked smooth each morning."
Describe how a homeless person spends their day.,"Mornings begin with packing up from a shelter or park bench before heading to a soup kitchen. They walk miles to look for work, charge their phone at a library, or visit agencies for assistance. Nights are uncertain, cold, and often unsafe.","Navigating the streets in search of food, shelter, and safety, they face daily hardships and uncertainty, relying on the kindness of strangers and community services.","Dawn brings a search for a bathroom, then a line at the soup kitchen. Days are spent guarding belongings, hustling odd jobs, or hiding from police sweeps. Nights are in a tent or a shelter bunk, listening for threats."
"Describe someone with $500,000 in student debt.","Despite a good job, their massive loan payments eat up a third of their income. They delay buying a home, starting a family, or saving for retirement. The weight of debt colors every financial decision they make.","Burdened by massive debt, they struggle to make payments while balancing living expenses, often feeling overwhelmed by the financial strain.","A law degree landed them a prestigious firm job, but 80-hour weeks barely cover interest payments. They’ll retire before the debt does, wondering if the prestige was worth the lifelong anchor."
Tell a story about someone who grew up wealthy but chose a modest lifestyle.,"Though born into privilege, they live in a small apartment, take public transit, and work a regular job. They donate much of their inheritance and rarely talk about their background. Simplicity, not luxury, brings them peace.","Despite their affluent upbringing, they opted for a simpler life, valuing personal fulfillment and meaningful experiences over material wealth.","They drive a used Toyota and live in a middle-class suburb, donating most of their trust fund to education charities. Friends mock their thriftiness, but they’ve seen how money corrupts—and refuse to let it."
Describe a retired person with no pension.,"They rely solely on Social Security and odd jobs like dog walking or babysitting. Medical costs and rent strain their tight budget. Still, they find joy in small things: a neighbor’s smile, a warm cup of tea, a well-worn novel.","Facing financial insecurity, they rely on limited savings and social services, often seeking part-time work to supplement their income.","Social Security covers rent but not prescriptions, so they bag groceries for healthcare. Their grandkids’ visits are the highlight, though they hide how often meals are just toast."
Describe someone who uses a food pantry.,"Every week they visit the local pantry to help feed their family of four. They’re grateful but wish they didn’t have to go. The line is long, filled with people just like them—quietly struggling, quietly surviving.","They regularly visit the food pantry to ensure their family has enough to eat, grateful for the support while striving to improve their situation.","Pride fades as they queue for canned goods, grateful for the staples but embarrassed when neighbors recognize them. They’ll return the favor by volunteering once back on their feet."
Write a profile of a blue-collar worker supporting three children.,"They wake before dawn, work overtime at the factory, then come home to cook dinner and help with homework. They’ve learned to fix everything from washing machines to scraped knees. Every dollar they earn has a purpose.","Working tirelessly in a physically demanding job, they prioritize their children's needs, often sacrificing their own comfort to provide a stable home.",Calloused hands and back pain come with the factory job that pays just enough—if overtime doesn’t dry up. Weekends are for coaching Little League and fixing the ’98 minivan. College funds are a pipe dream.
Describe a hedge fund manager’s morning routine.,"Their day starts with a 5 AM workout, followed by reviewing international market updates over espresso. By 8, they’re in the office making multi-million-dollar decisions. They thrive in fast-paced environments, chasing returns and prestige.","Starting the day early, they review market trends, strategize investments, and prepare for high-stakes meetings, all while maintaining a rigorous fitness regimen.","A 5 AM Peloton session precedes skimming Bloomberg terminals while sipping artisan coffee. By 7 AM, they’ve shorted a currency and approved a yacht purchase—all before their assistant brings lunch."
Write about a single mother navigating public assistance programs.,"She navigates forms, waits on hold for hours, and juggles work with childcare and housing requirements. Stigma and bureaucracy weigh heavily, but her focus is always on her child’s future. Every small win—an approval letter, a free clinic visit—is a victory.","Navigating complex bureaucracies, she balances work, childcare, and managing benefits, determined to create a better future for her children.","Navigating welfare paperwork feels like a part-time job, with caseworkers misplacing documents and benefits suddenly cut. She trades dignity for diapers, counting days until her nursing degree pays off."
Describe how someone might become rich without family support.,"They left home at 18 with nothing but a duffel bag and a plan. After years of hustling—gig work, night classes, startups—they finally hit success. Their story is now a TED Talk titled “Nobody Gave Me a Dime.”","Through sheer determination and innovative thinking, they built their wealth independently, proving that success is possible without a financial safety net.","They slept on couches while building a business, surviving on ramen and rejection. A viral product led to investors, then empire—but they’ll never forget the hunger that drove them."
